NodeID1,Top_Node,REID1,RE1,NodeID2,Domain(L1),REID2,RE2,NodeID3,Subdomain(L2),REID3,RE3,NodeID4,Workflow(L3),REID4,RE4,NodeID5,Unit_Node1,Description(L4),REID5,RE5,NodeID6,NextNode
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa011,Animal Welfare Claims,ra011,Belonging to node 'Animal Welfare Claims',fa0111,Define Animal Welfare Claims,"Establish the meaning of claims like °∞Humanely Raised,°± °∞Raised with Care,°± or °∞Ethically Raised°± and provide detailed information for substantiation.",ra0111,Follow node 'Define Animal Welfare Claims',fa0112,Provide Supporting Documentation
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa011,Animal Welfare Claims,ra011,Belonging to node 'Animal Welfare Claims',fa0112,Provide Supporting Documentation,"Include descriptions of animal care, signed statements on practices, segregation methods, and, if applicable, third-party certification.",ra0111,Follow node 'Provide Supporting Documentation',fa0113,Obtain Third-Party Certification
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa011,Animal Welfare Claims,ra011,Belonging to node 'Animal Welfare Claims',fa0113,Obtain Third-Party Certification,"Use third-party certification to verify claims, ensuring the certifier's name, website, and logo are present on the label.",ra0111,Follow node 'Obtain Third-Party Certification',fa010,End
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa012,Breed Claims,ra012,Belonging to node 'Breed Claims',fa0121,Define Breed Claims,"Specify the breed (e.g., Angus, Wagyu, Berkshire) and its unique traits.",ra0121,Follow node 'Define Breed Claims',fa0112,Provide Supporting Documentation
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa012,Breed Claims,ra012,Belonging to node 'Breed Claims',fa0112,Provide Supporting Documentation,"Include breed-specific verification records, product tracing mechanisms, and segregation methods.",ra0121,Follow node 'Provide Supporting Documentation',fa0123,Verify with Breed Organization or AMS
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa012,Breed Claims,ra012,Belonging to node 'Breed Claims',fa0123,Verify with Breed Organization or AMS,Use USDA Process Verified Programs or similar breed organization certification.,ra0121,Follow node 'Verify with Breed Organization or AMS',fa010,End
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa013,Diet Claims,ra013,Belonging to node 'Diet Claims',fa0131,Define Diet Claims,"Establish claims like °∞Grass Fed,°± °∞Grain Fed,°± or °∞Vegetarian Fed°± and provide details on feed practices.",ra0131,Follow node 'Define Diet Claims',fa0112,Provide Supporting Documentation
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa013,Diet Claims,ra013,Belonging to node 'Diet Claims',fa0112,Provide Supporting Documentation,"Include signed statements, product tracing mechanisms, and diet-specific management practices.",ra0131,Follow node 'Provide Supporting Documentation',fa0133,Validate Diet Practices
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa013,Diet Claims,ra013,Belonging to node 'Diet Claims',fa0133,Validate Diet Practices,"If deviations occur (e.g., supplementation during adverse conditions), provide proof that such events are exceptions and not routine.",ra0131,Follow node 'Validate Diet Practices',fa0113,Obtain Third-Party Certification
f0,KG,r,The field of Food Safety is subordinate to the main node.,fa,Food Safety,ra,Belonging to node 'Food Safety',fa01,FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims,ra01,Belonging to node 'FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims',fa013,Diet Claims,ra013,Belonging to node 'Diet Claims',fa0113,Obtain Third-Party Certification,Verify claims through third-party certification.,ra0131,Follow node 'Obtain Third-Party Certification',fa010,End
