NodeID4,Worklflow_Node,Unit_Node1_1,Unit_Node1_2,Unit_Node1_3,Unit_Node1_4,Unit_Node1_5,Unit_Node1_6,Unit_Node1_7,Unit_Node1_8,IC
fa011,Animal Welfare Claims,Define Animal Welfare Claims,Provide Supporting Documentation,Obtain Third-Party Certification,END,,,,,1
fa012,Breed Claims,Define Breed Claims,Provide Supporting Documentation,Verify with Breed Organization or AMS,END,,,,,1
fa013,Diet Claims,Define Diet Claims,Provide Supporting Documentation,Validate Diet Practices,Obtain Third-Party Certification,END,,,,1
fa014,Living or Raising Conditions Claims,Define Living Conditions Claims,Provide Supporting Documentation,Obtain Third-Party Certification,END,,,,,1
fa015,Negative Antibiotics Use Claims,Define Negative Antibiotics Use Claims,Provide Supporting Documentation,Obtain Third-Party Certification,END,,,,,1
fa016,Environment-Related Claims,Define Environment-Related Claims,Provide Supporting Documentation,Obtain Third-Party Certification,END,,,,,1
fa021,Livestock and Poultry Residue Prevention Workflow,Confirm Producer History,Purchase Animals Free of Violative Residues,Ensure Animal Identification,Provide Producer Information to FSIS,Notify Producers of Detected Residues,END,,,1
fa022,HACCP System Controls for Historic Residue Violations,Obtain Supporting Documentation,Establish a Critical Control Point (CCP),Perform Residue Testing,Apply Corrective Actions for Violative Residues,END,,,,1
fa023,Residue Testing Considerations,Identify Residue Testing Methodology,Conduct Validation and Ongoing Verification,Implement Live or Post-Mortem Testing,END,,,,,1
fa024,NSIS Sorting Procedures,Perform Residue Screening,Dispose of Animals with Violative Residues,Document Residue Testing Results,END,,,,,1
fa031,Poultry Sorting and Inspection,Conduct Classroom Training,Implement Wet Lab Training,Perform On-the-Job Training,Monitor Sorting Performance,Carcass Disposition Decision,END,,,1
fa032,Disease Condition Evaluation,Identify Disease Conditions,Localized Trimming for Tumors,Generalized Disease Disposal,Train Inspectors for Disease Identification,END,,,,1
fa033,Meat Quality Control,Sorting Procedures Implementation,Localized Condition Handling,Generalized Disease Disposal,Carcass Disposition Decision,END,,,,1
fa041,"Donating Meat, Poultry, and Egg Products",Identify Products Eligible for Donation,Verify Product Condition,Label Products for Donation,Ship Products Safely,END,,,,1
fa042,Receiving Donated Products,Verify Product Condition,Repackage and Label Products,Ship Products Safely,Distribute to Consumers,END,,,,1
fa043,Managing Liability for Donated Products,Understand Liability Protection,Ensure Good Faith Compliance,Educate Donors and Recipients,END,,,,,1
fa051,Retained Water Protocol Development,Define Purpose Statement,Describe Washing and Chilling Systems,Detail Chiller System Configurations,Identify Variable Factors in the Chilling System,Set Standards for Chilling Systems,Implement Testing Methods,Evaluate Results and Report Data,END,1
fa052,Water Retention Process Control,Define Purpose Statement,Maintain Process Control,Implement Testing Methods,END,,,,,1
fa053,Labeling Retained Water Products,Create Accurate Retained Water Statements,Distinguish Multi-Ingredient Products,Address Special Labeling Scenarios,END,,,,,1
fa061,Training Program for Carcass Sorting,Classroom Training,Wet Lab Training,On-the-Job Training,Follow-Up Sessions,Continuous Monitoring,END,,,1
fa062,Carcass Disposition and Sorting Procedures,Identify Unwholesome Carcasses,Trim Localized Conditions,Dispose of Generalized Disease Carcasses,Route Carcasses for Reprocessing,END,,,,1
fa063,Managing Generalized Disease Conditions,Evaluate Generalized Symptoms,Dispose of Generalized Disease Carcasses,Trim or Dispose Based on Condition,END,,,,,1
fa071,Food Defense Planning Workflow,Develop Food Defense Plan,Designate Food Defense Coordinator,Conduct Vulnerability Assessment,Train Employees on Food Defense,END,,,,1
fa072,Personnel Security Workflow,Conduct Background Checks,Establish Credential Systems,Train Employees on Food Defense,END,,,,,1
fa073,Incident Response Planning Workflow,Develop Food Defense Plan,Conduct Background Checks,Notify Authorities in Case of Incident,Move Personnel and Patrons to Safety,END,,,,1
fa081,Risk Mitigation Workflow,Prevent Adulteration,Controlling Time and Temperature,Prevent Cross-Contamination,Cleaning and Sanitizing,END,,,,1
fa082,Employee Hygiene Workflow,Train Employees,Proper Use of Gloves,Employee Practices,Prevent Cross-Contamination,END,,,,1
fa083,Food Safety Workflow,Product Handling,Cleaning and Sanitizing,Employee Practices,END,,,,,1
fa091,Salmonella Control in Livestock Management,Pre-Harvest Controls,Lairage Practices,Antimicrobial Treatments,END,,,,,1
fa092,Statistical Quality Control in Slaughter Operations,Statistical Process Control,Sampling Protocols,Process Adjustment,END,,,,,1
fa101,Fermented Products Workflow,Preparation of Meat and Ingredients,Fermentation Process,Optional Low-Temperature Heat Step,Drying Process,END,,,,1
fa102,Salt-Cured Products Workflow,Meat Preparation and Salt Application,Salt-Curing Process,Equalization Step,Drying Process,END,,,,1
fa103,Dried Products Workflow,Preparation and Seasoning,Drying Process,Optional Post-Drying Heat Treatment,END,,,,,1
fa111,Hazard Control Workflow,Receiving and Inspection,Sanitation SOPs Implementation,Temperature Monitoring Procedures,END,,,,,1
fa112,Environmental Monitoring Workflow,Swab Testing,Sanitation SOPs Implementation,Corrective Action Documentation,END,,,,,1
fa113,Process Optimization Workflow,Product Sorting and Sizing,Temperature Monitoring Procedures,Process Adjustment,END,,,,,1
fa121,Raw Catfish Processing Workflow,Receiving Farm-Raised Catfish,Sanitation SOP Implementation,Temperature Control,Foreign Material Control,END,,,,1
fa122,Packaging Material Handling Workflow,Receiving and Storing Packaging Materials,Sanitation SOP Implementation,Temperature Control,END,,,,,1
fa123,Finished Product Shipping Workflow,Load and Inspect Finished Products,Foreign Material Control,Temperature Maintenance During Transport,END,,,,,1
fa131,Liquid Egg Processing Workflow,Receiving and Storage of Shell Eggs,Sanitation SOP Implementation,Breaking and Separating,Filtration and Cooling,Temperature Monitoring,END,,,1
fa132,Packaging and Shipping Workflow,Filling and Sealing Bulk Containers,Sanitation SOP Implementation,Temperature Monitoring,Foreign Material Control,END,,,,1
fa141,Raw Poultry Processing,Receive Live Poultry,Stun and Bleed,Monitor Chilling Temperature,END,,,,,1
fa142,Egg Product Safety Assurance,Receive Shell Eggs,Wash and Sanitize Eggs,Sanitize Processing Equipment,END,,,,,1
fa143,Product Labeling Compliance,Inspect Product Labels,Update Label Templates,END,,,,,,1
fa151,Raw Material Handling Workflow,Receiving and Inspecting Materials,Sanitation SOP Implementation,Temperature Monitoring,END,,,,,1
fa152,Cooking Workflow,Preparation for Cooking,Cooking to Required Lethality,Temperature Monitoring,END,,,,,1
fa153,Packaging Workflow,Vacuum Packaging,Sanitation SOP Implementation,Labeling and Quality Inspection,END,,,,,1
fa161,Raw Poultry Processing Workflow,Receiving and Inspection,Sanitation SOP Implementation,Antimicrobial Intervention,Temperature Monitoring,END,,,,1
fa162,Packaging Workflow,Filling and Sealing,Sanitation SOP Implementation,Labeling and Documentation,END,,,,,1
fa163,Chilling Workflow,Rapid Chilling,Temperature Monitoring,Water Management,END,,,,,1
fa171,Pre-Harvest Interventions Workflow,Grow-out House Biosecurity,Feed and Water Additives,Sanitation SOP Implementation,END,,,,,1
fa172,Poultry Slaughter Workflow,Live Receiving and Hanging,Scalding Process,Temperature Monitoring,Sanitation SOP Implementation,END,,,,1
fa173,Poultry Chilling Workflow,Chiller Water Management,Temperature Monitoring,Post-Chilling Inspection,END,,,,,1
fa181,HACCP System Workflow,Hazard Analysis,Sanitation SOP Implementation,Temperature Monitoring,END,,,,,1
fa182,Product Packaging Workflow,Material Inspection,Sanitation SOP Implementation,Sealing and Labeling,END,,,,,1
fa183,Final Product Testing Workflow,Microbiological Sampling,Temperature Monitoring,Quality Assurance Review,END,,,,,1
fa191,Pre-Harvest Interventions Workflow,Livestock Inspection,Sanitation SOP Implementation,Pathogen Reduction Strategies,END,,,,,1
fa192,Slaughter Workflow,Stunning and Bleeding,Hide Removal,Sanitation SOP Implementation,END,,,,,1
fa193,Chilling Workflow,Rapid Cooling,Temperature Monitoring,END,,,,,,1
fa194,Packaging Workflow,Sealing and Labeling,Temperature Monitoring,END,,,,,,1
fa201,Pre-Harvest Workflow,Livestock Handling,Sanitation SOP Implementation,END,,,,,,1
fa202,Slaughter Workflow,Stunning and Bleeding,Hide Removal,Sanitation SOP Implementation,END,,,,,1
fa203,Chilling Workflow,Rapid Chilling,Temperature Monitoring,Sanitation SOP Implementation,END,,,,,1
fa204,Packaging Workflow,Vacuum Sealing,Labeling and Documentation,Temperature Monitoring,END,,,,,1
fa211,Receiving and Storage Workflow,Receiving Ingredients,Sanitation SOP Implementation,Storage of Ingredients,END,,,,,1
fa212,Processing Workflow,Pre-Processing Inspection,Mixing and Preparation,Temperature Monitoring,Sanitation SOP Implementation,END,,,,1
fa213,Cooling Workflow,Rapid Cooling,Temperature Monitoring,Post-Cooling Inspection,END,,,,,1
fa221,Kit Assembly Workflow,Component Preparation,Component Inspection,Assembly Without Inspection,Labeling Requirements,END,,,,1
