NodeID5,Question,NodeID6,Groundtruth
fa0111,"I've completed defining animal welfare claims, specifically establishing the meaning of terms like ""Humanely Raised,"" ""Raised with Care,"" or ""Ethically Raised,"" and providing detailed information for substantiation. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"I've encountered an issue concerning Animal Welfare Claims. I've already completed the step of providing supporting documentation, which includes descriptions of animal care, signed statements about practices, segregation methods, and, if applicable, third-party certification. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,"I've completed the step of obtaining third-party certification for Animal Welfare Claims, including verifying the claims and ensuring the certifier's name, website, and logo are on the label. What should I do next?",fa010,End
fa0121,"I've encountered a problem related to Breed Claims. I've completed defining them by specifying the breed (e.g., Angus, Wagyu, Berkshire) and its unique traits. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"I've encountered an issue with breed claims. I've already provided supporting documentation, including breed-specific verification records, product tracing mechanisms, and segregation methods. What should I do next?",fa0123,Verify with Breed Organization or AMS
fa0123,"I've encountered an issue with Breed Claims. I've already completed the verification with a breed organization or AMS, specifically using USDA Process Verified Programs or similar breed organization certification. What should I do next?",fa010,End
fa0131,"I encountered an issue related to diet claims. I've already defined diet claims and established details for claims like ""Grass Fed,"" ""Grain Fed,"" and ""Vegetarian Fed,"" including information on feed practices. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"I've completed the supporting documentation for a problem related to diet claims, including signed statements, product tracing mechanisms, and diet-specific management practices. What should I do next?",fa0133,Validate Diet Practices
fa0133,"I've encountered a problem related to diet claims. I've completed the step of validating diet practices, specifically ensuring that any deviations, like supplementation during adverse conditions, are proven to be exceptions rather than routine. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,I've encountered an issue regarding diet claims. I've already completed the step of verifying claims through third-party certification. What should I do next?,fa010,End
fa0141,"I encountered an issue related to Living or Raising Conditions Claims. I have already completed defining these claims, specifically establishing claims like ""Free Range,"" ""Cage Free,"" or ""Pasture Raised,"" and describing the associated standards. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"I've encountered an issue with Living or Raising Conditions Claims. I've completed the step of providing supporting documentation, including segregation and tracing mechanisms, and additional substantiation like continuous outdoor access for free-range claims. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,I've encountered an issue regarding Living or Raising Conditions Claims. I've already obtained third-party certification to substantiate these claims. What should I do next?,fa010,End
fa0151,"I encountered an issue concerning negative claims about antibiotic use. I've defined these claims and clarified terms such as ""Raised Without Antibiotics"" and ""No Antibiotics Ever,"" ensuring they are substantiated from birth to slaughter. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"I encountered an issue regarding claims of negative antibiotic use. I've already completed the section on providing supporting documentation, which includes descriptions of management practices, sampling programs, and the segregation of treated animals. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,I've encountered an issue regarding claims about negative antibiotic use. I've already obtained third-party certification by verifying these claims through routine sampling or certification. What should I do next?,fa010,End
fa0161,"I've encountered an issue regarding environment-related claims. I've completed the step of defining these claims, specifically establishing claims like ""Sustainably Farmed"" or ""Carbon Neutral"" with supporting environmental data or studies. What should I do next?",fa0112,Provide Supporting Documentation
fa0112,"I've completed the step of providing supporting documentation for my environment-related claims, including tracing mechanisms, segregation methods, and substantiation of environmental impact claims. What should I do next?",fa0113,Obtain Third-Party Certification
fa0113,I've encountered a problem with environment-related claims. I've completed obtaining third-party certification by verifying claims through an independent certifying organization. What should I do next?,fa010,End
fa0211,I've completed the step of confirming producer history by using the FSIS Residue Repeat Violators List (RRVL) to verify any historical residue violations associated with producers before purchasing livestock. What should I do next?,fa0212,Purchase Animals Free of Violative Residues
fa0212,I've been working on the Livestock and Poultry Residue Prevention Workflow and have completed the step of purchasing animals free of violative residues by buying from producers with a history of providing residue-free animals and effective residue prevention programs. What should I do next?,fa0213,Ensure Animal Identification
fa0213,"I've completed the step of ensuring animal identification, such as maintaining sufficient ear tags or tattoos for traceability back to the producer, in the Livestock and Poultry Residue Prevention Workflow. What should I do next?",fa0214,Provide Producer Information to FSIS
fa0214,I've completed the step of providing detailed producer information for ante-mortem inspection to prevent issues with residue testing. What should I do next in the Livestock and Poultry Residue Prevention Workflow?,fa0215,Notify Producers of Detected Residues
