NodeID5,Question,,NodeID6,Groundtruth
fa0111,"I've been working on animal welfare claims related to the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. I've completed defining the meaning of claims such as ""Humanely Raised,"" ""Raised with Care,"" or ""Ethically Raised,"" and I've provided detailed information for substantiation. What should I do next?",,fa0112,Provide Supporting Documentation
fa0112,"I've been working with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims, specifically focusing on Animal Welfare Claims. I've already completed the descriptions of animal care, obtained signed statements on practices, established segregation methods, and secured third-party certification where applicable. What steps should I take next?",,fa0113,Obtain Third-Party Certification
fa0113,"I've run into an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already used third-party certification to verify the animal welfare claims, and I've made sure the certifier's name, website, and logo are on the label. What should I do next?",,fa010,End
fa0121,"I've run into an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already specified the breed, such as Angus, Wagyu, or Berkshire, and its unique traits for Breed Claims. What should I do next?",,fa0112,Provide Supporting Documentation
fa0112,"I've been working on breed claims related to the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've already completed the breed-specific verification records, product tracing mechanisms, and segregation methods. What steps should I take next?",,fa0123,Verify with Breed Organization or AMS
fa0123,I've run into an issue with the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I'm currently working on Breed Claims and have already completed the step involving USDA Process Verified Programs or similar breed organization certification. What should I do next?,,fa010,End
fa0131,"I encountered a problem related to the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. While working on diet claims, I have completed establishing claims like ""Grass Fed,"" ""Grain Fed,"" or ""Vegetarian Fed,"" and provided details on feed practices. What should I do next?",,fa0112,Provide Supporting Documentation
fa0112,"I've encountered an issue with the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. For the diet claims, I've already completed the signed statements, product tracing mechanisms, and diet-specific management practices. What should I do next?",,fa0133,Validate Diet Practices
fa0133,"I'm working on Diet Claims related to the FSIS Guideline on Substantiating Animal-Raising or Environment-Related Labeling Claims. I've completed the part about proving that deviations, like supplementation during adverse conditions, are exceptions and not routine. What should I do next?",,fa0113,Obtain Third-Party Certification
fa0113,"I've encountered a problem with the FSIS Guideline on substantiating animal-raising or environment-related labeling claims. While working on diet claims, I've completed the step of verifying claims through third-party certification. What should I do next?",,fa010,End
